program;lopnr;female;kull;termin;tnr;status;poang_p;kullnr;ptnr
E;1;0;20002;20002;15;-7;6;15;1
W;2;1;20112;20112;37;-7;15;37;1
D;3;1;20032;20032;21;-7;16.5;21;1
N;4;1;20112;20112;37;-7;30;37;1
W;5;1;20112;20112;37;-7;0;37;1
F;6;0;20082;20082;31;-7;0;31;1
D;7;0;20102;20102;35;-7;5;35;1
V;8;0;20092;20092;33;-7;0;33;1
B;9;1;20022;20022;19;-7;0;19;1
K;10;0;20122;20122;39;-7;18.5;39;1
K;11;0;20072;20072;29;1;5;29;1
K;11;0;20072;20081;30;-7;23.5;29;2
E;12;0;20152;20152;45;-7;0;45;1
I;13;1;20052;20052;25;-7;12;25;1
C;14;0;20032;20032;21;-7;0;21;1
E;15;0;20022;20022;19;-7;0;19;1
E;16;0;20012;20012;17;-7;0;17;1
D;17;0;20032;20032;21;-7;0;21;1
G;18;1;20112;20112;37;-7;29;37;1
D;19;0;20152;20152;45;1;30;45;1
D;19;0;20152;20161;46;2;30.5;45;2
F;20;0;20132;20132;41;-7;0;41;1
G;21;1;20042;20042;23;1;24;23;1
G;21;1;20042;20051;24;-7;25.5;23;2
F;22;1;20022;20022;19;1;7.5;19;1
F;22;1;20022;20031;20;2;15;19;2
F;22;1;20022;20032;21;-7;12;19;3
P;23;0;20062;20062;27;1;30;27;1
P;23;0;20062;20071;28;2;30;27;2
P;23;0;20062;20072;29;-7;31.5;27;3
D;24;0;20122;20122;39;-7;3;39;1
E;25;0;19992;19992;13;-7;0;13;1
E;26;0;20012;20012;17;-7;0;17;1
M;27;0;20152;20152;45;-7;0;45;1
D;28;1;19982;19982;11;-7;3;11;1
B;29;0;20102;20102;35;-7;0;35;1
V;30;1;20122;20122;39;1;30.5;39;1
V;30;1;20122;20131;40;2;29.5;39;2
V;30;1;20122;20132;41;-7;0;39;3
E;31;0;20082;20082;31;-7;0;31;1
D;32;0;20002;20002;15;-7;3;15;1
C;33;0;20122;20122;39;-7;2.5;39;1
D;34;0;20072;20072;29;-7;3;29;1
C;35;0;20122;20122;39;-7;12;39;1
N;36;0;20122;20122;39;-7;0;39;1
M;37;0;20152;20152;45;1;9.5;45;1
M;37;0;20152;20161;46;2;8;45;2
N;38;0;20072;20072;29;-7;10;29;1
P;39;0;20042;20042;23;-7;30;23;1
D;40;0;19972;19972;9;-7;6;9;1
D;41;0;20072;20072;29;-7;3;29;1
V;42;0;19942;19942;3;-7;0;3;1
L;43;1;19982;19982;11;-7;6;11;1
V;44;0;20092;20092;33;-7;0;33;1
K;45;1;20082;20082;31;-7;0;31;1
D;46;1;20132;20132;41;-7;0;41;1
C;47;0;20052;20052;25;-7;21;25;1
D;48;0;20052;20052;25;-7;16.5;25;1
L;49;1;20152;20152;45;1;23;45;1
L;49;1;20152;20161;46;2;37;45;2
M;50;0;20082;20082;31;-7;9;31;1
C;51;0;20022;20022;19;1;16.5;19;1
C;51;0;20022;20031;20;-7;15;19;2
E;52;0;20052;20052;25;1;0;25;1
E;52;0;20052;20061;26;-7;0;25;2
B;53;1;20092;20092;33;1;0;33;1
B;53;1;20092;20101;34;-7;0;33;2
I;54;0;20112;20112;37;-7;9;37;1
M;55;0;20112;20112;37;1;17;37;1
M;55;0;20112;20121;38;-7;37;37;2
M;56;0;20052;20052;25;1;12;25;1
M;56;0;20052;20061;26;2;0;25;2
M;56;0;20052;20062;27;-7;0;25;3
I;57;1;20122;20122;39;-7;0;39;1
T;58;1;20152;20152;45;1;29.5;45;1
T;58;1;20152;20161;46;2;31;45;2
M;59;0;20142;20142;43;1;3.5;43;1
M;59;0;20142;20151;44;2;5;43;2
M;59;0;20142;20152;45;-7;0;43;3
N;60;0;20152;20152;45;1;30;45;1
N;60;0;20152;20161;46;2;30;45;2
C;61;1;20032;20032;21;-7;22.5;21;1
F;62;0;20082;20082;31;-7;0;31;1
E;63;0;19972;19972;9;-7;18;9;1
P;64;1;20132;20132;41;-7;0;41;1
L;65;1;20102;20102;35;1;15;35;1
L;65;1;20102;20111;36;-7;0;35;2
N;66;0;20072;20072;29;1;22;29;1
N;66;0;20072;20081;30;-7;34;29;2
C;67;0;20122;20122;39;1;7.5;39;1
C;67;0;20122;20131;40;-4;0;39;2
C;67;0;20122;20132;41;-7;0;39;3
E;68;0;20082;20082;31;1;0;31;1
E;68;0;20082;20091;32;-7;0;31;2
E;69;0;20032;20032;21;-7;0;21;1
I;70;0;20152;20152;45;1;30;45;1
I;70;0;20152;20161;46;2;30;45;2
D;71;0;20102;20102;35;1;9;35;1
D;71;0;20102;20111;36;-7;0;35;2
M;72;0;19942;19942;3;-7;0;3;1
F;73;0;20122;20122;39;-7;30;39;1
V;74;0;20082;20082;31;-7;0;31;1
K;75;0;19942;19942;3;-7;16.5;3;1
V;76;0;20062;20062;27;-7;0;27;1
K;77;0;20102;20102;35;-7;14;35;1
D;78;0;20152;20152;45;1;23;45;1
D;78;0;20152;20161;46;2;33.5;45;2
E;79;0;20132;20132;41;-7;0;41;1
M;80;0;20152;20152;45;1;17;45;1
M;80;0;20152;20161;46;2;15;45;2
M;81;0;19952;19952;5;-7;0;5;1
D;82;0;20152;20152;45;1;10.5;45;1
D;82;0;20152;20161;46;2;15.5;45;2
K;83;1;20062;20062;27;1;31.5;27;1
K;83;1;20062;20071;28;-7;22.5;27;2
L;84;1;20112;20112;37;-7;15;37;1
F;85;0;20082;20082;31;1;21;31;1
F;85;0;20082;20091;32;-7;30;31;2
V;86;0;20062;20062;27;-7;0;27;1
E;87;0;20062;20062;27;-7;0;27;1
M;88;0;20072;20072;29;-7;6;29;1
C;89;0;20032;20032;21;1;10.5;21;1
C;89;0;20032;20041;22;-7;0;21;2
G;90;1;20032;20032;21;-7;12;21;1
I;91;0;20152;20152;45;1;30;45;1
I;91;0;20152;20161;46;2;30;45;2
C;92;0;20062;20062;27;-7;6;27;1
V;93;0;20052;20052;25;1;10.5;25;1
V;93;0;20052;20061;26;2;0;25;2
V;93;0;20052;20062;27;-7;0;25;3
F;94;0;20032;20032;21;-7;0;21;1
B;95;1;20042;20042;23;-7;0;23;1
V;96;1;20152;20152;45;1;30.5;45;1
V;96;1;20152;20161;46;2;29.5;45;2
F;97;0;20082;20082;31;-7;0;31;1
I;98;0;20142;20142;43;1;3;43;1
I;98;0;20142;20151;44;2;9;43;2
I;98;0;20142;20152;45;3;0;43;3
I;98;0;20142;20161;46;-7;0;43;4
F;99;0;19952;19952;5;1;0;5;1
F;99;0;19952;19961;6;-7;16.5;5;2
P;100;1;20082;20082;31;-7;4.5;31;1
M;101;0;20032;20032;21;-7;12;21;1
V;102;1;20152;20152;45;1;8;45;1
V;102;1;20152;20161;46;-2;0;45;2
E;103;0;19962;19962;7;1;0;7;1
E;103;0;19962;19971;8;-7;0;7;2
V;104;0;20092;20092;33;1;23;33;1
V;104;0;20092;20101;34;-7;0;33;2
E;105;0;20132;20132;41;-7;0;41;1
D;106;1;20012;20012;17;1;3;17;1
D;106;1;20012;20021;18;-7;0;17;2
W;107;1;20052;20052;25;-7;27;25;1
G;108;0;20072;20072;29;-7;6;29;1
L;109;0;20082;20082;31;1;15;31;1
L;109;0;20082;20091;32;2;18;31;2
L;109;0;20082;20092;33;-7;0;31;3
C;110;0;20082;20082;31;1;17;31;1
C;110;0;20082;20091;32;-7;39.5;31;2
D;111;0;20012;20012;17;1;22.5;17;1
D;111;0;20012;20021;18;-2;0;17;2
D;111;0;20012;20022;19;-2;0;17;3
D;111;0;20012;20031;20;-4;0;17;4
D;111;0;20012;20032;21;-7;0;17;5
G;112;0;20132;20132;41;1;10.5;41;1
G;112;0;20132;20141;42;-7;22.5;41;2
E;113;0;20152;20152;45;1;3;45;1
E;113;0;20152;20161;46;2;14;45;2
L;114;0;20152;20152;45;1;0;45;1
L;114;0;20152;20161;46;-2;0;45;2
K;115;0;20042;20042;23;1;3;23;1
K;115;0;20042;20051;24;-7;0;23;2
E;116;0;19952;19952;5;1;16.5;5;1
E;116;0;19952;19961;6;2;42;5;2
E;116;0;19952;19962;7;-7;0;5;3
T;117;0;20152;20152;45;1;29.5;45;1
T;117;0;20152;20161;46;2;26;45;2
P;118;0;20132;20132;41;1;25.5;41;1
P;118;0;20132;20141;42;-7;34.5;41;2
W;119;0;19992;19992;13;1;0;13;1
W;119;0;19992;20001;14;-7;0;13;2
V;120;0;20152;20152;45;1;0;45;1
V;120;0;20152;20161;46;2;0;45;2
E;121;0;20072;20072;29;-7;4.5;29;1
I;122;0;20142;20142;43;1;30;43;1
I;122;0;20142;20151;44;-7;30;43;2
F;123;0;19952;19952;5;-7;0;5;1
E;124;0;20092;20092;33;-7;0;33;1
N;125;0;20152;20152;45;1;15.5;45;1
N;125;0;20152;20161;46;2;30;45;2
E;126;1;20152;20152;45;1;0;45;1
E;126;1;20152;20161;46;2;7.5;45;2
M;127;0;19992;19992;13;-7;0;13;1
E;128;0;20042;20042;23;-7;0;23;1
P;129;0;20152;20152;45;1;33;45;1
P;129;0;20152;20161;46;2;27;45;2
C;130;1;20152;20152;45;1;27;45;1
C;130;1;20152;20161;46;2;29.5;45;2
D;131;0;20102;20102;35;-7;11;35;1
M;132;0;20152;20152;45;1;28;45;1
M;132;0;20152;20161;46;2;32;45;2
T;133;1;20132;20132;41;-7;3;41;1
B;134;1;20042;20042;23;-7;21;23;1
M;135;0;19992;19992;13;-7;0;13;1
V;136;1;20132;20132;41;1;8;41;1
V;136;1;20132;20141;42;-7;0;41;2
B;137;1;20082;20082;31;-7;0;31;1
M;138;0;20102;20102;35;1;6;35;1
M;138;0;20102;20111;36;-7;29;35;2
K;139;1;20152;20152;45;1;23;45;1
K;139;1;20152;20161;46;2;24;45;2
C;140;0;20022;20022;19;-7;10.5;19;1
V;141;1;20092;20092;33;1;30.5;33;1
V;141;1;20092;20101;34;-7;29.5;33;2
I;142;0;20102;20102;35;1;9;35;1
I;142;0;20102;20111;36;2;30;35;2
I;142;0;20102;20112;37;-7;0;35;3
G;143;1;20152;20152;45;1;29.5;45;1
G;143;1;20152;20161;46;2;30.5;45;2
I;144;0;20052;20052;25;-7;0;25;1
F;145;0;20052;20052;25;1;27;25;1
F;145;0;20052;20061;26;-7;33;25;2
K;146;0;19952;19952;5;1;9;5;1
K;146;0;19952;19961;6;-7;0;5;2
D;147;0;19932;19932;1;1;0;1;1
D;147;0;19932;19941;2;-7;12;1;2
I;148;1;20022;20022;19;-7;22.5;19;1
B;149;0;20092;20092;33;1;26;33;1
B;149;0;20092;20101;34;2;23;33;2
B;149;0;20092;20102;35;-7;24.5;33;3
L;150;0;20042;20042;23;1;15;23;1
L;150;0;20042;20051;24;2;27;23;2
L;150;0;20042;20052;25;3;0;23;3
L;150;0;20042;20061;26;-7;19.5;23;4
V;151;1;19962;19962;7;1;22.5;7;1
V;151;1;19962;19971;8;2;22.5;7;2
V;151;1;19962;19972;9;-7;0;7;3
K;152;0;19952;19952;5;1;0;5;1
K;152;0;19952;19961;6;-7;0;5;2
P;153;0;20152;20152;45;1;24;45;1
P;153;0;20152;20161;46;2;36;45;2
D;154;0;20152;20152;45;1;23;45;1
D;154;0;20152;20161;46;2;31.5;45;2
G;155;1;20152;20152;45;1;24.5;45;1
G;155;1;20152;20161;46;2;35.5;45;2
I;156;0;20142;20142;43;1;30;43;1
I;156;0;20142;20151;44;2;30;43;2
I;156;0;20142;20152;45;3;25;43;3
I;156;0;20142;20161;46;4;35;43;4
D;157;0;20042;20042;23;1;3;23;1
D;157;0;20042;20051;24;-7;0;23;2
L;158;0;20142;20142;43;1;0;43;1
L;158;0;20142;20151;44;2;45;43;2
L;158;0;20142;20152;45;3;38;43;3
L;158;0;20142;20161;46;4;30;43;4
F;159;0;20152;20152;45;1;30;45;1
F;159;0;20152;20161;46;2;26;45;2
V;160;0;20022;20022;19;1;16.5;19;1
V;160;0;20022;20031;20;2;0;19;2
V;160;0;20022;20032;21;-4;0;19;3
V;160;0;20022;20041;22;-7;0;19;4
W;161;0;20022;20022;19;-7;0;19;1
E;162;0;20002;20002;15;-7;0;15;1
F;163;0;20152;20152;45;1;17;45;1
F;163;0;20152;20161;46;2;43;45;2
V;164;0;19952;19952;5;-7;25.5;5;1
D;165;0;20142;20142;43;1;18.5;43;1
D;165;0;20142;20151;44;2;20.5;43;2
D;165;0;20142;20152;45;3;23;43;3
D;165;0;20142;20161;46;4;26.5;43;4
C;166;1;20062;20062;27;1;6;27;1
C;166;1;20062;20071;28;-4;0;27;2
C;166;1;20062;20072;29;-4;0;27;3
C;166;1;20062;20081;30;-4;0;27;4
C;166;1;20062;20082;31;-7;0;27;5
W;167;1;20142;20142;43;1;30;43;1
W;167;1;20142;20151;44;-7;15;43;2
W;168;1;20062;20062;27;1;30;27;1
W;168;1;20062;20071;28;-7;30;27;2
B;169;0;20152;20152;45;1;30;45;1
B;169;0;20152;20161;46;2;30;45;2
L;170;1;20032;20032;21;1;27;21;1
L;170;1;20032;20041;22;2;37.5;21;2
L;170;1;20032;20042;23;-7;0;21;3
E;171;0;20042;20042;23;-7;0;23;1
I;172;0;20082;20082;31;-7;0;31;1
K;173;1;19942;19942;3;-7;16.5;3;1
K;174;1;20072;20072;29;-7;0;29;1
N;175;0;20052;20052;25;-7;15;25;1
E;176;0;20152;20152;45;1;15.5;45;1
E;176;0;20152;20161;46;2;11;45;2
M;177;0;20092;20092;33;1;28;33;1
M;177;0;20092;20101;34;2;33;33;2
M;177;0;20092;20102;35;-7;0;33;3
F;178;0;20082;20082;31;-7;9;31;1
D;179;1;20122;20122;39;1;15.5;39;1
D;179;1;20122;20131;40;2;11;39;2
D;179;1;20122;20132;41;3;6.5;39;3
D;179;1;20122;20141;42;4;10.5;39;4
D;179;1;20122;20142;43;-2;4;39;5
D;179;1;20122;20151;44;-7;0;39;6
M;180;0;20152;20152;45;1;28;45;1
M;180;0;20152;20161;46;2;32;45;2
D;181;0;20152;20152;45;-7;3;45;1
K;182;1;19962;19962;7;-7;9;7;1
T;183;0;20152;20152;45;1;29.5;45;1
T;183;0;20152;20161;46;2;31;45;2
V;184;0;20122;20122;39;1;8;39;1
V;184;0;20122;20131;40;-4;0;39;2
V;184;0;20122;20132;41;-7;0;39;3
E;185;0;20132;20132;41;-7;0;41;1
V;186;0;20152;20152;45;1;4;45;1
V;186;0;20152;20161;46;2;4;45;2
L;187;0;20112;20112;37;1;0;37;1
L;187;0;20112;20121;38;-7;0;37;2
F;188;0;20022;20022;19;1;27;19;1
F;188;0;20022;20031;20;2;39;19;2
F;188;0;20022;20032;21;-7;36;19;3
T;189;1;20152;20152;45;1;16.5;45;1
T;189;1;20152;20161;46;2;0;45;2
I;190;0;20072;20072;29;1;30;29;1
I;190;0;20072;20081;30;-7;24;29;2
M;191;0;20032;20032;21;1;24;21;1
M;191;0;20032;20041;22;2;19.5;21;2
M;191;0;20032;20042;23;3;13.5;21;3
M;191;0;20032;20051;24;-7;4.5;21;4
D;192;0;20152;20152;45;1;23;45;1
D;192;0;20152;20161;46;2;30.5;45;2
K;193;1;20152;20152;45;1;28.5;45;1
K;193;1;20152;20161;46;2;31.5;45;2
N;194;0;20142;20142;43;1;0;43;1
N;194;0;20142;20151;44;-7;0;43;2
D;195;0;20152;20152;45;1;27;45;1
D;195;0;20152;20161;46;2;30.5;45;2
E;196;1;20022;20022;19;1;3;19;1
E;196;1;20022;20031;20;-7;6;19;2
D;197;0;20152;20152;45;1;23;45;1
D;197;0;20152;20161;46;2;39;45;2
E;198;0;19972;19972;9;1;18;9;1
E;198;0;19972;19981;10;2;18;9;2
E;198;0;19972;19982;11;-7;0;9;3
K;199;1;20042;20042;23;1;12;23;1
K;199;1;20042;20051;24;-7;15;23;2
C;200;0;20152;20152;45;1;12;45;1
C;200;0;20152;20161;46;2;33;45;2
L;201;0;20072;20072;29;-7;0;29;1
D;202;0;20072;20072;29;1;23.5;29;1
D;202;0;20072;20081;30;-7;3;29;2
V;203;0;20132;20132;41;1;11.5;41;1
V;203;0;20132;20141;42;2;37;41;2
V;203;0;20132;20142;43;3;4;41;3
V;203;0;20132;20151;44;4;53;41;4
V;203;0;20132;20152;45;5;19.5;41;5
V;203;0;20132;20161;46;6;30;41;6
D;204;0;20032;20032;21;-7;0;21;1
D;205;0;20052;20052;25;1;13.5;25;1
D;205;0;20052;20061;26;2;0;25;2
D;205;0;20052;20062;27;-2;0;25;3
D;205;0;20052;20071;28;-2;0;25;4
D;205;0;20052;20072;29;-7;0;25;5
P;206;0;20152;20152;45;1;24;45;1
P;206;0;20152;20161;46;2;43.5;45;2
B;207;0;20102;20102;35;1;0;35;1
B;207;0;20102;20111;36;-7;0;35;2
F;208;0;19952;19952;5;-7;16.5;5;1
N;209;0;20152;20152;45;1;30;45;1
N;209;0;20152;20161;46;2;30;45;2
K;210;1;20032;20032;21;1;15;21;1
K;210;1;20032;20041;22;-7;24;21;2
N;211;1;20052;20052;25;-7;0;25;1
W;212;0;20152;20152;45;1;15;45;1
W;212;0;20152;20161;46;2;25;45;2
M;213;0;20152;20152;45;1;5;45;1
M;213;0;20152;20161;46;2;32;45;2
F;214;0;20132;20132;41;1;23;41;1
F;214;0;20132;20141;42;2;22;41;2
F;214;0;20132;20142;43;-7;0;41;3
M;215;0;20152;20152;45;1;22;45;1
M;215;0;20152;20161;46;2;26;45;2
D;216;0;19962;19962;7;-7;7.5;7;1
V;217;0;20112;20112;37;-7;0;37;1
I;218;0;20152;20152;45;1;14;45;1
I;218;0;20152;20161;46;2;20;45;2
V;219;1;20142;20142;43;1;22.5;43;1
V;219;1;20142;20151;44;-7;41.5;43;2
P;220;0;20152;20152;45;1;24;45;1
P;220;0;20152;20161;46;2;28.5;45;2
E;221;0;20152;20152;45;1;7.5;45;1
E;221;0;20152;20161;46;2;0;45;2
V;222;1;20152;20152;45;1;17.5;45;1
V;222;1;20152;20161;46;2;30;45;2
E;223;0;19952;19952;5;-7;7.5;5;1
E;224;0;20132;20132;41;-7;0;41;1
M;225;0;20022;20022;19;-7;3;19;1
I;226;1;20012;20012;17;-7;16.5;17;1
B;227;1;20052;20052;25;1;7.5;25;1
B;227;1;20052;20061;26;2;18;25;2
B;227;1;20052;20062;27;3;0;25;3
B;227;1;20052;20071;28;-7;0;25;4
V;228;1;19982;19982;11;1;13.5;11;1
V;228;1;19982;19991;12;2;18;11;2
V;228;1;19982;19992;13;-7;0;11;3
F;229;0;20152;20152;45;1;30;45;1
F;229;0;20152;20161;46;2;30;45;2
N;230;0;20072;20072;29;1;3;29;1
N;230;0;20072;20081;30;-7;0;29;2
M;231;0;20062;20062;27;1;30;27;1
M;231;0;20062;20071;28;-7;30;27;2
M;232;0;20002;20002;15;1;10.5;15;1
M;232;0;20002;20011;16;2;18;15;2
M;232;0;20002;20012;17;-2;10.5;15;3
M;232;0;20002;20021;18;-2;4.5;15;4
M;232;0;20002;20022;19;2;13.5;15;5
M;232;0;20002;20031;20;-7;0;15;6
F;233;0;20082;20082;31;-7;0;31;1
E;234;0;20012;20012;17;1;0;17;1
E;234;0;20012;20021;18;-7;0;17;2
M;235;0;20012;20012;17;1;22.5;17;1
M;235;0;20012;20021;18;-7;33;17;2
M;236;1;20112;20112;37;1;12;37;1
M;236;1;20112;20121;38;2;6;37;2
M;236;1;20112;20122;39;-7;0;37;3
K;237;0;20152;20152;45;1;15;45;1
K;237;0;20152;20161;46;2;27;45;2
D;238;0;19992;19992;13;1;21;13;1
D;238;0;19992;20001;14;-7;13.5;13;2
F;239;0;19932;19932;1;1;13.5;1;1
F;239;0;19932;19941;2;-2;0;1;2
F;239;0;19932;19942;3;-7;0;1;3
F;240;1;20152;20152;45;1;30;45;1
F;240;1;20152;20161;46;2;26;45;2
D;241;0;20062;20062;27;-7;3;27;1
B;242;1;20132;20132;41;1;15;41;1
B;242;1;20132;20141;42;2;24;41;2
B;242;1;20132;20142;43;3;8.5;41;3
B;242;1;20132;20151;44;4;16.5;41;4
B;242;1;20132;20152;45;-2;0;41;5
B;242;1;20132;20161;46;-2;0;41;6
B;243;1;20072;20072;29;1;23;29;1
B;243;1;20072;20081;30;2;27.5;29;2
B;243;1;20072;20082;31;-7;0;29;3
M;244;1;20142;20142;43;1;12;43;1
M;244;1;20142;20151;44;2;12;43;2
M;244;1;20142;20152;45;-2;11;43;3
M;244;1;20142;20161;46;-2;8;43;4
G;245;1;20062;20062;27;1;30;27;1
G;245;1;20062;20071;28;2;24;27;2
G;245;1;20062;20072;29;3;30;27;3
G;245;1;20062;20081;30;-7;0;27;4
M;246;0;20152;20152;45;1;28;45;1
M;246;0;20152;20161;46;2;32;45;2
E;247;0;20152;20152;45;1;27;45;1
E;247;0;20152;20161;46;2;27;45;2
B;248;1;20062;20062;27;1;3;27;1
B;248;1;20062;20071;28;-7;0;27;2
C;249;0;20042;20042;23;1;18;23;1
C;249;0;20042;20051;24;-7;42;23;2
M;250;0;20152;20152;45;1;28;45;1
M;250;0;20152;20161;46;2;32;45;2
I;251;1;20032;20032;21;-7;16.5;21;1
W;252;1;20152;20152;45;1;15;45;1
W;252;1;20152;20161;46;2;18;45;2
I;253;0;20152;20152;45;1;24;45;1
I;253;0;20152;20161;46;2;36;45;2
F;254;0;20082;20082;31;1;9;31;1
F;254;0;20082;20091;32;-7;0;31;2
E;255;0;20042;20042;23;1;16.5;23;1
E;255;0;20042;20051;24;-7;0;23;2
D;256;0;20122;20122;39;1;15.5;39;1
D;256;0;20122;20131;40;-7;11;39;2
B;257;1;20022;20022;19;1;12;19;1
B;257;1;20022;20031;20;2;49.5;19;2
B;257;1;20022;20032;21;-7;0;19;3
M;258;0;20142;20142;43;1;28;43;1
M;258;0;20142;20151;44;2;27;43;2
M;258;0;20142;20152;45;-2;5;43;3
M;258;0;20142;20161;46;-2;0;43;4
D;259;0;20082;20082;31;-7;3;31;1
G;260;1;20142;20142;43;1;29;43;1
G;260;1;20142;20151;44;2;37;43;2
G;260;1;20142;20152;45;3;32;43;3
G;260;1;20142;20161;46;4;30;43;4
L;261;0;20142;20142;43;1;30;43;1
L;261;0;20142;20151;44;2;30;43;2
L;261;0;20142;20152;45;3;27;43;3
L;261;0;20142;20161;46;4;30;43;4
K;262;0;20052;20052;25;1;0;25;1
K;262;0;20052;20061;26;-7;12;25;2
F;263;0;20122;20122;39;1;30;39;1
F;263;0;20122;20131;40;2;30;39;2
F;263;0;20122;20132;41;-7;24.5;39;3
E;264;0;20142;20142;43;-7;0;43;1
C;265;0;20152;20152;45;1;12;45;1
C;265;0;20152;20161;46;2;13.5;45;2
F;266;0;20122;20122;39;1;0;39;1
F;266;0;20122;20131;40;-4;0;39;2
F;266;0;20122;20132;41;-7;0;39;3
D;267;0;20152;20152;45;1;30;45;1
D;267;0;20152;20161;46;2;27.5;45;2
E;268;0;19962;19962;7;1;0;7;1
E;268;0;19962;19971;8;-7;0;7;2
N;269;1;20152;20152;45;1;16.5;45;1
N;269;1;20152;20161;46;2;30.5;45;2
I;270;0;20152;20152;45;1;30;45;1
I;270;0;20152;20161;46;2;30;45;2
C;271;0;20082;20082;31;-7;20;31;1
V;272;0;20002;20002;15;-7;13.5;15;1
E;273;0;20092;20092;33;-7;3;33;1
D;274;0;20092;20092;33;-7;16;33;1
D;275;0;20102;20102;35;-7;5;35;1
F;276;1;20152;20152;45;1;23;45;1
F;276;1;20152;20161;46;2;32;45;2
W;277;0;20082;20082;31;-7;0;31;1
D;278;0;20142;20142;43;1;18.5;43;1
D;278;0;20142;20151;44;2;16;43;2
D;278;0;20142;20152;45;3;19;43;3
D;278;0;20142;20161;46;4;4;43;4
K;279;1;20112;20112;37;1;19;37;1
K;279;1;20112;20121;38;2;14;37;2
K;279;1;20112;20122;39;-2;0;37;3
K;279;1;20112;20131;40;-2;0;37;4
K;279;1;20112;20132;41;-7;0;37;5
D;280;0;20032;20032;21;1;16.5;21;1
D;280;0;20032;20041;22;-7;0;21;2
K;281;1;20042;20042;23;1;12;23;1
K;281;1;20042;20051;24;2;9;23;2
K;281;1;20042;20052;25;-7;0;23;3
D;282;0;20052;20052;25;-7;0;25;1
I;283;0;20152;20152;45;1;22;45;1
I;283;0;20152;20161;46;2;30;45;2
F;284;1;20022;20022;19;1;15;19;1
F;284;1;20022;20031;20;-4;0;19;2
F;284;1;20022;20032;21;-2;0;19;3
F;284;1;20022;20041;22;-7;0;19;4
E;285;0;20152;20152;45;1;22.5;45;1
E;285;0;20152;20161;46;2;21.5;45;2
B;286;1;20152;20152;45;1;30;45;1
B;286;1;20152;20161;46;2;30;45;2
D;287;0;20002;20002;15;-7;0;15;1
V;288;0;20132;20132;41;1;16;41;1
V;288;0;20132;20141;42;-2;0;41;2
V;288;0;20132;20142;43;-2;2.5;41;3
V;288;0;20132;20151;44;-7;0;41;4
K;289;0;20012;20012;17;1;21;17;1
K;289;0;20012;20021;18;-7;34.5;17;2
M;290;0;20092;20092;33;1;11;33;1
M;290;0;20092;20101;34;-2;0;33;2
M;290;0;20092;20102;35;-2;0;33;3
M;290;0;20092;20111;36;-7;0;33;4
W;291;1;20152;20152;45;1;23;45;1
W;291;1;20152;20161;46;2;30;45;2
G;292;0;20032;20032;21;1;30;21;1
G;292;0;20032;20041;22;2;24;21;2
G;292;0;20032;20042;23;-7;36;21;3
D;293;0;20132;20132;41;1;28.5;41;1
D;293;0;20132;20141;42;2;26.5;41;2
D;293;0;20132;20142;43;3;29;41;3
D;293;0;20132;20151;44;4;31.5;41;4
D;293;0;20132;20152;45;5;30;41;5
D;293;0;20132;20161;46;6;28;41;6
F;294;1;20152;20152;45;1;6;45;1
F;294;1;20152;20161;46;2;8;45;2
W;295;1;20152;20152;45;1;21;45;1
W;295;1;20152;20161;46;2;30;45;2
L;296;0;19992;19992;13;1;12;13;1
L;296;0;19992;20001;14;2;30;13;2
L;296;0;19992;20002;15;-2;0;13;3
L;296;0;19992;20011;16;-7;0;13;4
V;297;0;20112;20112;37;1;30.5;37;1
V;297;0;20112;20121;38;2;23.5;37;2
V;297;0;20112;20122;39;3;14;37;3
V;297;0;20112;20131;40;4;35.5;37;4
V;297;0;20112;20132;41;5;22.5;37;5
V;297;0;20112;20141;42;6;30;37;6
V;297;0;20112;20142;43;7;30;37;7
V;297;0;20112;20151;44;8;30;37;8
V;297;0;20112;20152;45;9;30;37;9
V;297;0;20112;20161;46;10;34.5;37;10
B;298;0;20042;20042;23;1;15;23;1
B;298;0;20042;20051;24;-7;34.5;23;2
W;299;0;20042;20042;23;1;18;23;1
W;299;0;20042;20051;24;2;24;23;2
W;299;0;20042;20052;25;3;13.5;23;3
W;299;0;20042;20061;26;4;37.5;23;4
W;299;0;20042;20062;27;5;36;23;5
W;299;0;20042;20071;28;6;37.5;23;6
W;299;0;20042;20072;29;7;31.5;23;7
W;299;0;20042;20081;30;8;39;23;8
W;299;0;20042;20082;31;-5;36;23;9
W;300;1;20002;20002;15;-7;16.5;15;1
B;301;0;20082;20082;31;1;15;31;1
B;301;0;20082;20091;32;2;9;31;2
B;301;0;20082;20092;33;3;11;31;3
B;301;0;20082;20101;34;3;3;31;4
B;301;0;20082;20102;35;-4;0;31;5
B;301;0;20082;20111;36;-7;0;31;6
W;302;1;20152;20152;45;1;23;45;1
W;302;1;20152;20161;46;2;37;45;2
E;303;0;19972;19972;9;-7;6;9;1
N;304;1;20132;20132;41;1;19;41;1
N;304;1;20132;20141;42;-7;36;41;2
E;305;0;20062;20062;27;1;10.5;27;1
E;305;0;20062;20071;28;-7;25.5;27;2
F;306;1;19982;19982;11;1;18;11;1
F;306;1;19982;19991;12;2;49.5;11;2
F;306;1;19982;19992;13;3;31.5;11;3
F;306;1;19982;20001;14;4;27;11;4
F;306;1;19982;20002;15;5;40.5;11;5
F;306;1;19982;20011;16;6;31.5;11;6
F;306;1;19982;20012;17;7;24;11;7
